_id;latitude;longitude;a1;a2;a3;c1;c2;c3;d1;d2;d3;speed_limits
1;41.85712;12.47188;71;69;59;59;57;50;52;50;45;70
2;41.85716;12.4722;69;67;58;58;56;49;51;49;45;70
3;41.85712;12.47248;67;65;57;56;54;48;50;48;44;70
4;41.8571;12.47272;65;63;55;55;53;47;49;47;43;70
5;41.85707;12.47291;63;61;54;53;52;46;48;46;42;70
6;41.85704;12.47319;62;60;53;52;51;46;47;46;42;70
7;41.85702;12.47338;62;60;53;52;51;46;47;46;42;70
8;41.85699;12.47364;62;60;53;52;51;46;47;46;42;70
9;41.857;12.47388;62;60;53;52;51;46;47;46;42;70
10;41.85696;12.47416;62;60;53;52;51;46;47;46;42;70
11;41.85697;12.47439;62;60;53;52;51;46;47;46;42;70
12;41.85692;12.47461;62;60;53;52;51;46;47;46;42;70
13;41.85691;12.47478;62;60;53;52;51;46;47;46;42;70
14;41.85689;12.4751;62;60;53;52;51;46;47;46;42;70
15;41.85688;12.47549;62;60;53;52;51;46;47;46;42;70
16;41.85686;12.47566;63;61;54;53;52;47;48;46;42;70
17;41.85683;12.47587;65;63;55;55;53;48;49;47;43;70
18;41.85683;12.47609;67;65;57;56;54;49;50;48;44;70
19;41.8568;12.47624;69;67;58;58;56;50;51;49;45;70
20;41.85676;12.47643;71;69;59;59;57;51;52;50;45;70
21;41.85678;12.476;75;72;62;61;59;51;54;51;46;70
22;41.85675;12.47682;75;72;62;61;59;51;54;51;46;70
23;41.85673;12.47694;75;72;62;61;59;51;54;51;46;70
24;41.85672;12.47709;75;72;62;61;59;51;54;51;46;70
25;41.85673;12.47718;75;72;62;61;59;51;54;51;46;70
26;41.85672;12.47733;75;72;62;61;59;51;54;51;46;70
27;41.85708;12.47747;69;67;58;58;56;50;47;57;56;76
28;41.85707;12.47748;71;69;59;59;57;51;38;56;47;83
29;41.85705;12.47749;75;130;62;61;59;51;46;38;83;51
30;41.85542;12.46911;75;58;62;61;59;48;73;91;94;52
31;41.85542;12.46913;60;59;70;63;52;61;82;73;62;53
32;41.85541;12.46914;45;71;72;63;63;60;72;83;59;83
33;41.8554;12.46917;75;38;92;51;60;45;66;73;87;95
34;41.85539;12.46918;63;71;62;83;93;71;71;72;88;90
35;41.85479;12.46872;71;69;59;59;57;50;52;50;45;70
36;41.85479;12.46874;69;67;58;58;56;49;51;49;45;70
37;41.85481;12.46876;67;65;57;56;54;48;50;48;44;70
38;41.85481;12.46877;65;63;55;55;53;47;49;47;43;70
39;41.85481;12.46879;63;61;54;53;52;46;48;46;42;70
40;41.8548;12.46881;62;60;53;52;51;46;47;46;42;70
41;41.85482;12.46874;62;60;53;52;51;46;47;46;42;70
42;41.85584;12.46874;62;60;53;52;51;46;47;46;42;70
43;41.85485;12.46875;62;60;53;52;51;46;47;46;42;70
44;41.85486;12.46875;62;60;53;52;51;46;47;46;42;70
45;41.85488;12.46876;62;60;53;52;51;46;47;46;42;70
46;41.85491;12.46876;62;60;53;52;51;46;47;46;42;70
47;41.85495;12.46879;62;60;53;52;51;46;47;46;42;70
48;41.85497;12.46879;62;60;53;52;51;46;47;46;42;70
49;41.85501;12.4688;62;60;53;52;51;46;47;46;42;70
50;41.85504;12.46882;63;61;54;53;52;47;48;46;42;70
51;41.85508;12.46882;65;63;55;55;53;48;49;47;43;70
52;41.85512;12.46884;67;65;57;56;54;49;50;48;44;70
53;41.85502;12.46893;69;67;58;58;56;50;51;49;45;70
54;41.85497;12.46895;71;69;59;59;57;51;52;50;45;70
55;41.85487;12.46889;75;72;62;61;59;51;54;51;46;70
56;41.85492;12.46885;75;72;62;61;59;51;54;51;46;70
57;41.85482;12.46884;75;72;62;61;59;51;54;51;46;70
58;41.8548;12.46945;75;72;62;61;59;51;54;51;46;70
59;41.85482;12.46935;75;72;62;61;59;51;54;51;46;70
60;41.85484;12.46921;63;61;54;53;52;47;48;46;42;70
